罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,小野,小野駅前,282189,兵庫県,小野市,下来住町,2018-12-12,09,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,小野,小野駅前,282189,兵庫県,小野市,神明町,2018-06-13,06,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,三田,ウッディタウン中央,282197,兵庫県,三田市,けやき台１丁目,不明,不明,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,森,281018,兵庫県,神戸市東灘区,森南町１丁目,2018-10-13,09,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,岡本,281018,兵庫県,神戸市東灘区,本山中町４丁目,2018-09-27,13,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木３丁目,2018-07-12,22,一戸建住宅,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎浜町,2017-10-17,15,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉宮町４丁目,2018-01-02,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影塚町２丁目,2018-09-18,07,駐車（輪）場,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影塚町４丁目,2018-07-05,13,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影中町１丁目,2018-02-16,17,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影中町５丁目,2018-12-06,15,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,徳井,281026,兵庫県,神戸市灘区,弓木町５丁目,2018-03-19,17,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,篠原北町,281026,兵庫県,神戸市灘区,篠原北町１丁目,2018-05-28,17,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,篠原北町,281026,兵庫県,神戸市灘区,篠原中町４丁目,2018-07-16,23,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,高徳町４丁目,2018-06-24,00,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,永手町５丁目,2018-11-10,16,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,永手町５丁目,2018-11-16,23,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,深田町３丁目,2018-01-30,20,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,六甲,281026,兵庫県,神戸市灘区,神前町３丁目,2018-08-02,21,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,六甲,281026,兵庫県,神戸市灘区,篠原南町１丁目,2018-11-30,18,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,水道筋,281026,兵庫県,神戸市灘区,泉通２丁目,2018-11-08,17,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,水道筋,281026,兵庫県,神戸市灘区,灘北通２丁目,2018-11-20,06,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,水道筋,281026,兵庫県,神戸市灘区,灘南通１丁目,2018-03-30,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,水道筋,281026,兵庫県,神戸市灘区,都通５丁目,2018-01-25,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,新在家北町１丁目,2018-08-06,16,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,新在家北町１丁目,2018-08-16,11,その他,キーあり,なし,原動機付自転車（50cc以下）
