罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金以外の主な被害品
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,王子町,2019-03-09,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,黒川町,2019-11-27,22,駐車（輪）場,その他
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,敷地町,2019-08-28,20,駐車（輪）場,その他
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,高田町,2019-10-05,22,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,垂井町,2019-03-08,23,駐車（輪）場,その他
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,天神町,2019-09-12,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,中町,2019-11-16,17,４階建て以上共同住宅,その他
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,長尾町,2019-03-14,18,駐車（輪）場,その他
窃盗,部品ねらい,小野,小田,282189,兵庫県,小野市,小田町,2019-02-10,17,一戸建住宅,タイヤ・ホイール
窃盗,部品ねらい,三田,三田南,282197,兵庫県,三田市,天神３丁目,2019-05-16,14,駐車（輪）場,その他
窃盗,部品ねらい,三田,三田南,282197,兵庫県,三田市,西山２丁目,2019-01-22,14,駐車（輪）場,カーナビ
窃盗,部品ねらい,三田,三田南,282197,兵庫県,三田市,南が丘１丁目,2019-02-28,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,三田,小野,282197,兵庫県,三田市,小野,2019-04-12,18,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,三田,あいの里,282197,兵庫県,三田市,つつじが丘北２丁目,2019-10-08,22,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,三田,フラワータウン,282197,兵庫県,三田市,貴志,2018-12-30,12,一戸建住宅,タイヤ・ホイール
窃盗,部品ねらい,三田,南ウッディタウン,282197,兵庫県,三田市,すずかけ台３丁目,2019-11-05,22,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,2018-12-29,15,道路上,ナンバープレート
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町４丁目,2019-01-28,23,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,東灘,森,281018,兵庫県,神戸市東灘区,森南町２丁目,2019-01-20,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本８丁目,2019-06-14,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,青木駅前,281018,兵庫県,神戸市東灘区,青木５丁目,2019-09-26,10,道路上,ナンバープレート
窃盗,部品ねらい,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木１丁目,2019-12-28,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎北町１丁目,2019-10-05,14,一戸建住宅,ナンバープレート
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎北町７丁目,2019-08-03,22,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎北町７丁目,2019-08-14,11,一戸建住宅,ナンバープレート
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町２丁目,2019-03-18,20,４階建て以上共同住宅,ナンバープレート
