罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金被害の有無
窃盗,自動販売機ねらい,小野,河合,282189,兵庫県,小野市,河合中町,2019-01-08,11,その他,あり
窃盗,自動販売機ねらい,小野,小野駅前,282189,兵庫県,小野市,浄谷町,2019-09-06,00,その他,あり
窃盗,自動販売機ねらい,三田,三田駅前,282197,兵庫県,三田市,三輪１丁目,2019-07-11,13,その他,あり
窃盗,自動販売機ねらい,三田,加茂,282197,兵庫県,三田市,福島,2019-01-13,16,その他,あり
窃盗,自動販売機ねらい,三田,加茂,282197,兵庫県,三田市,福島,2019-01-27,15,その他,なし
窃盗,自動販売機ねらい,三田,加茂,282197,兵庫県,三田市,福島,2019-06-30,15,その他,あり
窃盗,自動販売機ねらい,三田,ウッディタウン中央,282197,兵庫県,三田市,学園２丁目,2019-06-23,09,その他,あり
窃盗,自動販売機ねらい,東灘,森,281018,兵庫県,神戸市東灘区,本山中町３丁目,2019-02-06,19,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,森,281018,兵庫県,神戸市東灘区,本山南町２丁目,2019-01-13,04,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本４丁目,2019-02-06,19,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,2019-02-06,19,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本５丁目,2019-02-06,22,駐車（輪）場,なし
窃盗,自動販売機ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本６丁目,2019-02-06,19,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,本山北町２丁目,2019-01-14,03,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,本山北町２丁目,2019-02-08,19,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,田中町４丁目,2019-02-08,14,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,青木駅前,281018,兵庫県,神戸市東灘区,青木５丁目,2019-01-13,04,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,青木駅前,281018,兵庫県,神戸市東灘区,本山南町５丁目,2019-02-06,19,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎北町１丁目,2019-02-06,19,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎北町１丁目,2019-02-06,23,駐車（輪）場,なし
窃盗,自動販売機ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎北町４丁目,2019-02-06,19,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎中町２丁目,2019-02-06,19,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎中町３丁目,2019-02-06,19,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町３丁目,2019-02-02,11,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町３丁目,2019-02-06,19,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町８丁目,2019-01-13,07,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町８丁目,2019-02-06,19,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉東町３丁目,2019-01-14,02,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影石町２丁目,2019-02-15,03,道路上,あり
窃盗,自動販売機ねらい,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影石町３丁目,2019-02-11,12,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,鴨子ヶ原,281018,兵庫県,神戸市東灘区,鴨子ケ原１丁目,2019-05-19,15,その他,あり
窃盗,自動販売機ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町西６丁目,2019-01-19,12,その他,あり
窃盗,自動販売機ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町東４丁目,2019-01-14,12,その他,あり
窃盗,自動販売機ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町東４丁目,2019-02-05,14,その他,あり
窃盗,自動販売機ねらい,灘,八幡,281026,兵庫県,神戸市灘区,曾和町２丁目,2019-10-11,05,その他,あり
窃盗,自動販売機ねらい,灘,王子公園,281026,兵庫県,神戸市灘区,王子町２丁目,2019-02-12,15,その他,あり
窃盗,自動販売機ねらい,灘,西灘,281026,兵庫県,神戸市灘区,岩屋北町３丁目,2019-07-12,15,駐車（輪）場,あり
窃盗,自動販売機ねらい,灘,西灘,281026,兵庫県,神戸市灘区,岩屋北町４丁目,2019-02-15,01,道路上,あり
窃盗,自動販売機ねらい,灘,西灘,281026,兵庫県,神戸市灘区,灘南通５丁目,2019-01-24,19,その他,あり
窃盗,自動販売機ねらい,灘,西灘,281026,兵庫県,神戸市灘区,灘南通５丁目,2019-02-05,01,駐車（輪）場,あり
窃盗,自動販売機ねらい,灘,西灘,281026,兵庫県,神戸市灘区,灘南通５丁目,2019-02-16,18,その他,あり
窃盗,自動販売機ねらい,灘,西灘,281026,兵庫県,神戸市灘区,船寺通４丁目,2018-11-04,12,駐車（輪）場,なし
窃盗,自動販売機ねらい,灘,西灘,281026,兵庫県,神戸市灘区,摩耶埠頭,2019-01-13,08,駐車（輪）場,あり
窃盗,自動販売機ねらい,灘,西灘,281026,兵庫県,神戸市灘区,摩耶埠頭,2019-01-19,10,道路上,あり
窃盗,自動販売機ねらい,灘,六甲山上,281026,兵庫県,神戸市灘区,六甲山町北六甲,2019-02-16,21,その他,あり
窃盗,自動販売機ねらい,灘,六甲山上,281026,兵庫県,神戸市灘区,六甲山町北六甲,2019-02-15,09,駐車（輪）場,あり
窃盗,自動販売機ねらい,灘,ＨＡＴ神戸灘の浜,281026,兵庫県,神戸市灘区,摩耶海岸通２丁目,2019-12-06,20,その他,あり
窃盗,自動販売機ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,琴ノ緒町４丁目,2018-12-29,11,駐車（輪）場,あり
窃盗,自動販売機ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,琴ノ緒町４丁目,2019-04-09,10,駐車（輪）場,あり
窃盗,自動販売機ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,琴ノ緒町４丁目,2019-07-31,11,駐車（輪）場,あり
窃盗,自動販売機ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,二宮町１丁目,2019-02-06,11,その他,あり
窃盗,自動販売機ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,旭通２丁目,2019-08-10,12,駐車（輪）場,あり
窃盗,自動販売機ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,小野柄通６丁目,2019-08-09,10,道路上,あり
窃盗,自動販売機ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,磯上通４丁目,2019-07-31,08,駐車（輪）場,あり
窃盗,自動販売機ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,雲井通３丁目,2019-08-08,11,その他,あり
窃盗,自動販売機ねらい,葺合,春日野,281107,兵庫県,神戸市中央区,脇浜町２丁目,2019-04-20,05,その他,あり
窃盗,自動販売機ねらい,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通１丁目,2019-08-12,09,道路上,あり
窃盗,自動販売機ねらい,生田,生田前,281107,兵庫県,神戸市中央区,中山手通１丁目,2019-02-09,03,駐車（輪）場,あり
窃盗,自動販売機ねらい,生田,生田前,281107,兵庫県,神戸市中央区,中山手通１丁目,2019-08-06,15,道路上,あり
窃盗,自動販売機ねらい,生田,京町,281107,兵庫県,神戸市中央区,東町,2019-06-10,12,道路上,あり
窃盗,自動販売機ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,北長狭通３丁目,2019-07-31,09,道路上,あり
窃盗,自動販売機ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,北長狭通３丁目,2019-07-31,09,道路上,あり
窃盗,自動販売機ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,北長狭通４丁目,2018-11-07,10,駐車（輪）場,なし
窃盗,自動販売機ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,北長狭通４丁目,2018-12-27,10,駐車（輪）場,なし
窃盗,自動販売機ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,北長狭通４丁目,2018-12-28,10,駐車（輪）場,あり
窃盗,自動販売機ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,下山手通４丁目,2018-11-17,11,駐車（輪）場,なし
窃盗,自動販売機ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,下山手通４丁目,2018-12-28,10,駐車（輪）場,あり
窃盗,自動販売機ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,元町高架通,2019-02-11,10,その他,あり
窃盗,自動販売機ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,元町通１丁目,2019-08-05,09,道路上,あり
窃盗,自動販売機ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,元町通４丁目,2019-08-12,15,道路上,あり
窃盗,自動販売機ねらい,生田,元町通,281107,兵庫県,神戸市中央区,栄町通６丁目,2019-08-20,15,その他,あり
窃盗,自動販売機ねらい,生田,元町通,281107,兵庫県,神戸市中央区,元町通４丁目,2019-08-07,19,道路上,あり
窃盗,自動販売機ねらい,生田,元町通,281107,兵庫県,神戸市中央区,元町通６丁目,2019-08-09,13,道路上,あり
窃盗,自動販売機ねらい,生田,下山手,281107,兵庫県,神戸市中央区,下山手通５丁目,2019-02-12,01,その他,あり
窃盗,自動販売機ねらい,生田,下山手,281107,兵庫県,神戸市中央区,中山手通７丁目,2019-02-20,16,その他,なし
窃盗,自動販売機ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,北長狭通７丁目,2019-11-23,17,その他,あり
窃盗,自動販売機ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,楠町１丁目,2019-06-22,20,その他,なし
窃盗,自動販売機ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,下山手通８丁目,2019-04-29,12,駐車（輪）場,あり
窃盗,自動販売機ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,多聞通２丁目,2019-08-20,10,道路上,あり
窃盗,自動販売機ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,多聞通５丁目,2019-08-23,12,道路上,あり
窃盗,自動販売機ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,相生町４丁目,2019-02-13,22,駐車（輪）場,なし
窃盗,自動販売機ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,相生町４丁目,2019-08-02,13,道路上,あり
窃盗,自動販売機ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,中町通４丁目,2019-05-14,20,その他,あり
窃盗,自動販売機ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,東川崎町１丁目,2019-12-07,05,その他,あり
窃盗,自動販売機ねらい,生田,ハーバーランド,281107,兵庫県,神戸市中央区,相生町５丁目,2019-02-14,02,駐車（輪）場,なし
窃盗,自動販売機ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,永沢町２丁目,2019-08-10,08,道路上,あり
窃盗,自動販売機ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,東出町３丁目,2019-10-03,09,道路上,あり
窃盗,自動販売機ねらい,兵庫,大開,281051,兵庫県,神戸市兵庫区,塚本通６丁目,2019-08-22,13,道路上,あり
窃盗,自動販売機ねらい,兵庫,大開,281051,兵庫県,神戸市兵庫区,羽坂通３丁目,2019-03-20,21,道路上,あり
窃盗,自動販売機ねらい,兵庫,大開,281051,兵庫県,神戸市兵庫区,羽坂通３丁目,2019-11-30,09,道路上,あり
窃盗,自動販売機ねらい,兵庫,大開,281051,兵庫県,神戸市兵庫区,三川口町３丁目,2019-10-03,10,道路上,あり
窃盗,自動販売機ねらい,兵庫,中之島,281051,兵庫県,神戸市兵庫区,築地町,2019-01-11,06,道路上,あり
窃盗,自動販売機ねらい,兵庫,中之島,281051,兵庫県,神戸市兵庫区,築地町,2019-02-06,10,道路上,あり
窃盗,自動販売機ねらい,兵庫,中之島,281051,兵庫県,神戸市兵庫区,出在家町１丁目,2019-01-07,17,その他,あり
窃盗,自動販売機ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,芦原通６丁目,2019-04-26,12,道路上,あり
窃盗,自動販売機ねらい,長田,長田東,281069,兵庫県,神戸市長田区,四番町６丁目,2019-01-08,12,駐車（輪）場,なし
窃盗,自動販売機ねらい,長田,湊川大橋,281069,兵庫県,神戸市長田区,東尻池町３丁目,2019-04-03,09,その他,あり
窃盗,自動販売機ねらい,長田,久保,281069,兵庫県,神戸市長田区,駒ケ林町１丁目,2019-08-02,20,その他,あり
窃盗,自動販売機ねらい,長田,久保,281069,兵庫県,神戸市長田区,西尻池町５丁目,2018-11-09,15,駐車（輪）場,なし
窃盗,自動販売機ねらい,長田,久保,281069,兵庫県,神戸市長田区,西尻池町５丁目,2019-01-16,15,駐車（輪）場,なし
窃盗,自動販売機ねらい,長田,久保,281069,兵庫県,神戸市長田区,南駒栄町,2019-04-24,10,その他,あり
窃盗,自動販売機ねらい,長田,久保,281069,兵庫県,神戸市長田区,南駒栄町,2019-09-09,17,その他,あり
窃盗,自動販売機ねらい,須磨,千歳,281077,兵庫県,神戸市須磨区,大池町４丁目,2019-01-07,07,その他,あり
窃盗,自動販売機ねらい,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,宮本町,2019-04-19,15,その他,あり
