罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,小野,小野駅前,282189,兵庫県,小野市,中町,2019-03-22,22,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,三田,三田南,282197,兵庫県,三田市,対中町,2019-05-01,08,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,三田,あいの里,282197,兵庫県,三田市,藍本,2019-07-06,21,一戸建住宅,キーあり,なし,乗用自動車
窃盗,自動車盗,葺合,小野柄,281107,兵庫県,神戸市中央区,磯上通２丁目,2019-07-27,19,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,生田,生田前,281107,兵庫県,神戸市中央区,中山手通２丁目,2019-07-10,21,道路上,キーあり,なし,乗用自動車
窃盗,自動車盗,兵庫,湊川,281051,兵庫県,神戸市兵庫区,松本通１丁目,2019-09-25,16,道路上,キーあり,なし,乗用自動車
窃盗,自動車盗,兵庫,中之島,281051,兵庫県,神戸市兵庫区,築地町,2019-12-18,00,道路上,キーあり,なし,貨物自動車
窃盗,自動車盗,長田,寺池,281069,兵庫県,神戸市長田区,片山町２丁目,2018-11-28,00,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,長田,水笠,281069,兵庫県,神戸市長田区,大道通５丁目,2019-11-23,18,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,長田,水笠,281069,兵庫県,神戸市長田区,細田町３丁目,2019-06-07,18,道路上,キーあり,なし,乗用自動車
窃盗,自動車盗,長田,野田,281069,兵庫県,神戸市長田区,駒ケ林町６丁目,2019-11-10,17,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,須磨,千歳,281077,兵庫県,神戸市須磨区,戸政町２丁目,2019-04-19,10,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,須磨,白川台,281077,兵庫県,神戸市須磨区,白川台５丁目,2018-08-21,09,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,神戸水上,新港,281107,兵庫県,神戸市中央区,小野浜町,2019-11-23,00,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,神戸水上,新港,281107,兵庫県,神戸市中央区,小野浜町,2019-11-27,10,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,神戸水上,新港,281107,兵庫県,神戸市中央区,小野浜町,2019-11-27,22,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,神戸西,神出,281115,兵庫県,神戸市西区,神出町池田,2019-09-29,18,一戸建住宅,キーあり,なし,貨物自動車
窃盗,自動車盗,神戸西,神出,281115,兵庫県,神戸市西区,神出町小束野,2019-11-29,17,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,有馬,道場,281093,兵庫県,神戸市北区,道場町平田,2019-09-05,22,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,西宮,甲陽園,282049,兵庫県,西宮市,甲陽園東山町,2019-09-01,21,道路上,キーあり,あり,乗用自動車
窃盗,自動車盗,西宮,西宮駅前,282049,兵庫県,西宮市,津門大塚町,2019-03-02,20,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,西宮,甲武橋,282049,兵庫県,西宮市,樋ノ口町１丁目,2019-05-27,22,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,乗用自動車
窃盗,自動車盗,西宮,山口,282049,兵庫県,西宮市,山口町下山口１丁目,2019-12-30,02,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,尼崎南,稲葉荘,282022,兵庫県,尼崎市,稲葉荘４丁目,2019-04-06,14,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,尼崎東,稲川橋,282022,兵庫県,尼崎市,杭瀬南新町４丁目,2019-07-26,20,駐車（輪）場,キーあり,あり,乗用自動車
