罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品
窃盗,部品ねらい,小野,河合,282189,兵庫県,小野市,復井町,2020/10/4,8,その他,駐車（輪）場,その他
窃盗,部品ねらい,小野,栗生,282189,兵庫県,小野市,西本町,2020/6/14,9,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,小野,下来住,282189,兵庫県,小野市,来住町,2020/2/7,18,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,王子町,2020/12/15,22,その他,駐車（輪）場,その他
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,喜多町,2020/7/31,18,その他,駐車（輪）場,その他
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,黒川町,2019/12/10,12,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,高田町,2020/8/28,18,その他,駐車（輪）場,その他
窃盗,部品ねらい,三田,三田南,282197,兵庫県,三田市,西山２丁目,2020/7/30,11,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,三田,三田南,282197,兵庫県,三田市,三田町,2020/2/16,17,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,三田,三田南,282197,兵庫県,三田市,三田町,2020/2/17,0,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,三田,三田南,282197,兵庫県,三田市,三田町,2020/5/10,17,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,三田,三田駅前,282197,兵庫県,三田市,大原,2020/2/22,2,その他,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,三田,三田駅前,282197,兵庫県,三田市,三輪２丁目,2020/10/28,15,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,三田,三田駅前,282197,兵庫県,三田市,駅前町,2020/12/13,21,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,三田,三田駅前,282197,兵庫県,三田市,中央町,2020/11/24,16,道路上,その他,その他
窃盗,部品ねらい,三田,広野,282197,兵庫県,三田市,下井沢,2020/11/2,12,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,三田,加茂,282197,兵庫県,三田市,福島,2020/8/22,11,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,三田,志手原,282197,兵庫県,三田市,大原,2020/10/10,21,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,三田,あいの里,282197,兵庫県,三田市,下相野,2020/1/23,7,その他,駐車（輪）場,その他
窃盗,部品ねらい,三田,南ウッディタウン,282197,兵庫県,三田市,福島,2020/4/30,16,その他,その他,その他
窃盗,部品ねらい,三田,南ウッディタウン,282197,兵庫県,三田市,すずかけ台２丁目,2020/6/10,14,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,三田,南ウッディタウン,282197,兵庫県,三田市,すずかけ台４丁目,2020/1/13,19,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町３丁目,2020/2/26,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町４丁目,2020/4/7,22,道路上,その他,なし
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町４丁目,2020/11/14,23,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,2019/12/27,16,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,2020/3/7,16,その他,駐車（輪）場,その他
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,2020/10/15,15,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,2020/10/23,7,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,2020/10/24,18,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町２丁目,2020/10/25,20,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,森,281018,兵庫県,神戸市東灘区,本庄町１丁目,2020/11/15,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,森,281018,兵庫県,神戸市東灘区,本山南町７丁目,2019/10/1,0,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本３丁目,2020/3/7,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本４丁目,2020/9/28,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,本山北町２丁目,2020/11/1,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,本山北町３丁目,2020/9/21,11,道路上,その他,ナンバープレート
窃盗,部品ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,甲南町４丁目,2020/1/12,12,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木１丁目,2020/8/18,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木２丁目,2020/7/27,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎中町１丁目,2020/3/29,13,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎浜町,2020/3/27,15,駐車（輪）場,駐車（輪）場,なし
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎浜町,2020/11/14,21,その他,駐車（輪）場,その他
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町２丁目,2020/7/28,23,４階建て以上共同住宅,その他,その他
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町４丁目,2020/4/4,19,その他,駐車（輪）場,その他
