罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,三田,三田南,282197,兵庫県,三田市,南が丘１丁目,2021[sanitize]01[sanitize]04,10,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,三田,三田駅前,282197,兵庫県,三田市,三輪１丁目,2019[sanitize]06[sanitize]15,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,三田,三田駅前,282197,兵庫県,三田市,三輪１丁目,2021[sanitize]03[sanitize]14,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町２丁目,2021[sanitize]08[sanitize]01,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本３丁目,2021[sanitize]01[sanitize]11,21,その他,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町４丁目,2021[sanitize]10[sanitize]15,06,その他,その他,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影石町１丁目,2021[sanitize]03[sanitize]19,14,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木３丁目,2021[sanitize]05[sanitize]27,17,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町１丁目,2020[sanitize]12[sanitize]31,08,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町５丁目,2021[sanitize]12[sanitize]24,02,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,鴨子ヶ原,281018,兵庫県,神戸市東灘区,住吉台,2021[sanitize]01[sanitize]16,20,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉本町１丁目,2021[sanitize]01[sanitize]22,13,その他,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,永手町２丁目,2021[sanitize]07[sanitize]06,19,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
