罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金被害の有無
窃盗,自動販売機ねらい,小野,小田,282189,兵庫県,小野市,万勝寺町,2022[sanitize]05[sanitize]17,17,その他,その他,あり
窃盗,自動販売機ねらい,小野,小野駅前,282189,兵庫県,小野市,王子町,2022[sanitize]12[sanitize]27,22,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,小野,河合,282189,兵庫県,小野市,河合中町,2022[sanitize]03[sanitize]20,22,その他,その他,あり
窃盗,自動販売機ねらい,小野,河合,282189,兵庫県,小野市,河合中町,2022[sanitize]05[sanitize]09,22,その他,その他,あり
窃盗,自動販売機ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,2022[sanitize]09[sanitize]07,00,その他,その他,あり
窃盗,自動販売機ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,2022[sanitize]09[sanitize]19,10,道路上,その他,あり
窃盗,自動販売機ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町４丁目,2022[sanitize]11[sanitize]10,21,道路上,その他,あり
窃盗,自動販売機ねらい,葺合,春日野,281107,兵庫県,神戸市中央区,脇浜町２丁目,2022[sanitize]09[sanitize]22,15,その他,その他,あり
窃盗,自動販売機ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,浜崎通,2022[sanitize]07[sanitize]23,19,その他,その他,あり
窃盗,自動販売機ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,新開地３丁目,2022[sanitize]01[sanitize]19,09,道路上,その他,なし
窃盗,自動販売機ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,中道通２丁目,2022[sanitize]11[sanitize]26,13,道路上,その他,あり
窃盗,自動販売機ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,東山町１丁目,2022[sanitize]10[sanitize]23,00,道路上,その他,あり
窃盗,自動販売機ねらい,長田,久保,281069,兵庫県,神戸市長田区,南駒栄町,2022[sanitize]07[sanitize]30,19,その他,その他,あり
窃盗,自動販売機ねらい,須磨,若宮,281077,兵庫県,神戸市須磨区,若草町１丁目,2022[sanitize]12[sanitize]17,18,その他,その他,あり
窃盗,自動販売機ねらい,神戸水上,新港,281107,兵庫県,神戸市中央区,新港町,2022[sanitize]01[sanitize]01,17,その他,その他,あり
窃盗,自動販売機ねらい,神戸西,上池,281115,兵庫県,神戸市西区,玉津町新方,2022[sanitize]05[sanitize]22,21,その他,その他,あり
