罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無
窃盗,車上ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町３丁目,20240417,18,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町４丁目,20240808,10,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,20240825,4,駐車（輪）場,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,20241009,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町３丁目,20240730,18,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,東灘,森,281018,兵庫県,神戸市東灘区,森北町１丁目,20240713,18,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,東灘,森,281018,兵庫県,神戸市東灘区,森南町３丁目,20240617,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20241117,14,道路上,その他,施錠せず,あり
窃盗,車上ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本６丁目,20240911,17,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本１丁目,20240704,12,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本１丁目,20240915,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,田中町１丁目,20240809,6,道路上,その他,施錠せず,あり
窃盗,車上ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,田中町４丁目,20240913,20,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,本山中町４丁目,20240122,11,道路上,その他,施錠せず,あり
窃盗,車上ねらい,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木３丁目,20240808,12,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木３丁目,20241011,10,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉宮町５丁目,20241015,9,道路上,その他,施錠せず,あり
窃盗,車上ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉東町３丁目,20240719,11,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉東町４丁目,20240805,21,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉宮町４丁目,20240901,13,道路上,その他,施錠せず,あり
窃盗,車上ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉本町１丁目,20240921,21,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉南町３丁目,20240725,9,道路上,その他,施錠せず,なし
窃盗,車上ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町１丁目,20240502,18,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町２丁目,20241104,15,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町３丁目,20231227,18,駐車（輪）場,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影塚町１丁目,20240202,12,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影１丁目,20240921,21,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中１丁目,20240417,8,道路上,その他,施錠せず,あり
窃盗,車上ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中１丁目,20220115,0,道路上,その他,施錠した,なし
窃盗,車上ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中７丁目,20240502,17,４階建て以上共同住宅,その他,施錠せず,なし
窃盗,車上ねらい,灘,高羽,281026,兵庫県,神戸市灘区,桜ケ丘町,20240813,23,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,高羽徳井,281026,兵庫県,神戸市灘区,記田町１丁目,20241207,12,その他,その他,施錠せず,なし
窃盗,車上ねらい,灘,篠原北町,281026,兵庫県,神戸市灘区,大土平町１丁目,20240911,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,篠原北町,281026,兵庫県,神戸市灘区,大土平町１丁目,20240911,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,水道筋,281026,兵庫県,神戸市灘区,灘北通５丁目,20240229,21,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,赤坂,281026,兵庫県,神戸市灘区,上野通１丁目,20241223,13,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,灘,桜口,281026,兵庫県,神戸市灘区,浜田町３丁目,20240823,18,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,灘,大石,281026,兵庫県,神戸市灘区,新在家南町３丁目,20240115,12,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,灘,大石,281026,兵庫県,神戸市灘区,新在家南町３丁目,20240113,11,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,灘,大石,281026,兵庫県,神戸市灘区,新在家南町３丁目,20240112,15,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,灘,大石,281026,兵庫県,神戸市灘区,新在家南町３丁目,20241027,9,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,灘,大石,281026,兵庫県,神戸市灘区,灘浜町,20240314,23,その他,その他,施錠せず,あり
窃盗,車上ねらい,灘,大石,281026,兵庫県,神戸市灘区,灘浜町,20240511,22,その他,駐車（輪）場,施錠せず,なし
