罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本７丁目,20240324,18,一戸建住宅,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,20240212,18,一戸建住宅,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,灘,水道筋,281026,兵庫県,神戸市灘区,倉石通５丁目,20241216,21,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,灘,西灘,281026,兵庫県,神戸市灘区,摩耶埠頭,20241025,18,道路上,その他,キーなし,あり,乗用自動車
窃盗,自動車盗,葺合,宮本,281107,兵庫県,神戸市中央区,宮本通２丁目,20240807,8,その他,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,葺合,宮本,281107,兵庫県,神戸市中央区,宮本通４丁目,20240725,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,葺合,ＨＡＴ神戸,281107,兵庫県,神戸市中央区,脇浜海岸通２丁目,20240306,16,その他,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,葺合,ＨＡＴ神戸,281107,兵庫県,神戸市中央区,脇浜海岸通２丁目,20240223,16,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,葺合,ＨＡＴ神戸,281107,兵庫県,神戸市中央区,脇浜海岸通２丁目,20240305,15,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,葺合,ＨＡＴ神戸,281107,兵庫県,神戸市中央区,脇浜海岸通３丁目,20240216,22,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,葺合,三宮センター,281107,兵庫県,神戸市中央区,旭通２丁目,20240822,19,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,生田,,281107,兵庫県,神戸市中央区,,20200101,0,その他,その他,キーなし,なし,乗用自動車
窃盗,自動車盗,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通１丁目,20240406,7,道路上,その他,キーあり,なし,なし
窃盗,自動車盗,兵庫,湊川,281051,兵庫県,神戸市兵庫区,下沢通１丁目,20240210,0,道路上,その他,キーなし,あり,乗用自動車
