罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,東灘,森,281018,兵庫県,神戸市東灘区,本山南町６丁目,2025/10/6,9,道路上,女性,50歳代,あり
窃盗,ひったくり,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影塚町３丁目,2025/4/22,19,その他,男性,40歳代,あり
窃盗,ひったくり,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町３丁目,2025/10/12,10,道路上,男性,65-69歳,あり
窃盗,ひったくり,生田,一宮,281107,兵庫県,神戸市中央区,加納町２丁目,2025/7/24,5,道路上,女性,40歳代,なし
窃盗,ひったくり,生田,京町,281107,兵庫県,神戸市中央区,三宮町２丁目,2025/12/21,5,道路上,男性,50歳代,あり
窃盗,ひったくり,兵庫,湊川,281051,兵庫県,神戸市兵庫区,荒田町１丁目,2025/2/16,12,その他,女性,30歳代,なし
窃盗,ひったくり,垂水,桃山台,281085,兵庫県,神戸市垂水区,桃山台１丁目,2025/12/15,22,道路上,女性,20歳代,あり
窃盗,ひったくり,垂水,青山台,281085,兵庫県,神戸市垂水区,青山台１丁目,2025/9/11,18,その他,男性,20歳代,なし
窃盗,ひったくり,垂水,,,,,,2025/9/20,17,その他,女性,30歳代,なし
窃盗,ひったくり,西宮,二見,282049,兵庫県,西宮市,大屋町,2025/9/24,7,道路上,女性,20歳代,あり
窃盗,ひったくり,尼崎南,センタープール前,282022,兵庫県,尼崎市,崇徳院３丁目,2025/9/24,7,道路上,女性,40歳代,なし
窃盗,ひったくり,尼崎南,中央,282022,兵庫県,尼崎市,神田中通３丁目,2025/9/6,11,道路上,男性,65-69歳,あり
窃盗,ひったくり,尼崎北,武庫之荘,282022,兵庫県,尼崎市,武庫之荘２丁目,2025/5/9,20,道路上,女性,20歳代,あり
窃盗,ひったくり,伊丹,昆陽ノ里,282073,兵庫県,伊丹市,野間北６丁目,2025/7/19,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,姫路,城南,282014,兵庫県,姫路市,坂元町,2025/12/11,3,道路上,女性,20歳代,あり
窃盗,ひったくり,姫路,城南,282014,兵庫県,姫路市,十二所前町,2025/12/16,0,道路上,女性,20歳代,あり
窃盗,ひったくり,姫路,大手前,282014,兵庫県,姫路市,元塩町,2025/11/23,10,道路上,男性,70歳以上,あり
窃盗,ひったくり,姫路,姫路駅前,282014,兵庫県,姫路市,亀井町,2025/6/6,17,道路上,女性,50歳代,あり
窃盗,ひったくり,福崎,福崎駅前,284432,兵庫県,福崎町,西治,2024/11/28,19,その他,男性,20歳代,あり
