罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,小野,下来住,282189,兵庫県,小野市,下来住町,2025/2/15,9,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,小野,下来住,282189,兵庫県,小野市,下来住町,2025/7/7,16,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,小野,下来住,282189,兵庫県,小野市,下来住町,2025/7/27,19,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,王子町,2025/2/7,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,60-64歳,その他,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,王子町,2025/8/16,14,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,王子町,2025/8/16,18,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,王子町,2025/12/19,16,４階建て以上共同住宅,駐車（輪）場,10歳代,小学生,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,敷地町,2025/8/13,13,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,敷地町,2025/8/16,19,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,西本町,2025/6/6,21,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,西本町,2025/8/16,17,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,小野,市場,282189,兵庫県,小野市,大島町,2025/6/27,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,小野,市場,282189,兵庫県,小野市,大島町,2025/7/17,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,小野,栗生,282189,兵庫県,小野市,粟生町,2025/1/29,16,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,小野,栗生,282189,兵庫県,小野市,粟生町,2025/8/25,12,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,小野,栗生,282189,兵庫県,小野市,粟生町,2025/9/26,6,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,小野,河合,282189,兵庫県,小野市,新部町,2025/1/11,不明,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,あいの里,282197,兵庫県,三田市,上相野,2025/8/17,5,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,あいの里,282197,兵庫県,三田市,下相野,2025/1/23,7,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,あいの里,282197,兵庫県,三田市,下相野,2025/7/31,18,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,あいの里,282197,兵庫県,三田市,下相野,2025/8/7,7,その他,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,三田,あいの里,282197,兵庫県,三田市,下相野,2025/10/17,18,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,けやき台１丁目,2024/7/2,9,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,けやき台１丁目,2025/5/26,16,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,けやき台１丁目,2025/8/4,13,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,けやき台１丁目,2025/9/3,21,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,ゆりのき台１丁目,2025/5/18,17,その他,駐車（輪）場,40歳代,その他,施錠せず
