罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町１丁目,20240616,7,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町１丁目,20240723,19,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町１丁目,20240722,22,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,森,281018,兵庫県,神戸市東灘区,本庄町２丁目,20240306,13,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,東灘,森,281018,兵庫県,神戸市東灘区,本山北町１丁目,20240725,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240209,15,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本７丁目,20240417,12,その他の住宅（３階建て以下共同住宅等）,その他,その他
窃盗,部品ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本１丁目,20240915,22,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本６丁目,20240704,20,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,田中町２丁目,20231225,15,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,東灘,青木駅前,281018,兵庫県,神戸市東灘区,青木４丁目,20240709,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,東灘,青木駅前,281018,兵庫県,神戸市東灘区,青木６丁目,20241116,15,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎北町６丁目,20240308,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎浜町,20240113,16,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町１丁目,20241020,12,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉東町２丁目,20240116,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉本町１丁目,20231229,17,その他,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町８丁目,20240314,15,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影中町８丁目,20240920,12,その他,その他,その他
