time,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2023-01-01 00:00:00,106159.7370,1754724908.8467,2.0916,1.0851,2.2210,1.0866
2023-01-01 01:00:00,106228.0800,1757437355.5200,2.0938,1.0834,2.2325,1.5130
2023-01-01 02:00:00,106322.9670,1758826417.0041,2.0594,1.0618,2.2469,2.0400
2023-01-01 03:00:00,106385.6510,1758788859.4622,2.0696,1.0616,2.2490,2.2176
2023-01-01 04:00:00,106515.1510,1759204233.9160,2.0679,1.0617,2.2424,2.1080
2023-01-01 05:00:00,106684.5650,1762311660.7785,2.0752,1.0614,2.2513,3.2898
2023-01-01 06:00:00,106776.7540,1765806673.4294,2.0818,1.0602,2.2663,0.0845
2023-01-01 07:00:00,108100.1990,1785369157.4701,2.1110,1.0515,2.2907,0.5473
2023-01-01 08:00:00,108426.1880,1789693385.4402,2.1074,1.0505,2.2833,0.7373
2023-01-01 09:00:00,108376.6870,1791485822.0078,2.1083,1.0523,2.2879,1.5758
2023-01-01 10:00:00,108586.3900,1795515902.5184,2.0886,1.0515,2.2537,1.3012
2023-01-01 11:00:00,108406.4350,1793382547.2447,2.0773,1.0528,2.2448,0.4295
2023-01-01 12:00:00,108603.1800,1797686717.9040,2.0687,1.0532,2.2415,1.1250
2023-01-01 13:00:00,108829.9860,1799836315.7559,2.0651,1.0518,2.2231,0.8183
2023-01-01 14:00:00,108935.0110,1801850442.9466,2.0645,1.0514,2.2241,0.6707
2023-01-01 15:00:00,108801.6130,1799513398.0522,2.0650,1.0528,2.2207,0.6654
2023-01-01 16:00:00,108368.9960,1794028780.4276,2.0664,1.0487,2.2284,0.2413
2023-01-01 17:00:00,108373.4020,1795855423.3519,2.0592,1.0503,2.2351,0.8015
2023-01-01 18:00:00,108552.2530,1800194647.5272,2.0556,1.0491,2.2301,0.7008
2023-01-01 19:00:00,108690.3330,1803913678.0026,2.0324,1.0483,2.2131,0.7593
2023-01-01 20:00:00,108637.1140,1803584610.3625,2.0190,1.0452,2.1874,1.0334
2023-01-01 21:00:00,108502.5810,1801034342.0190,2.0069,1.0445,2.1577,1.8328
2023-01-01 22:00:00,108710.1880,1803463967.9137,1.9937,1.0468,2.1377,2.7015
2023-01-01 23:00:00,108830.5640,1806837672.6972,1.9784,1.0456,2.1223,1.0693
2023-01-02 00:00:00,108425.5880,1797327602.0408,1.9667,1.0441,2.1000,0.2212
2023-01-02 01:00:00,107672.1130,1783251707.6374,1.9797,1.0443,2.1219,1.0494
2023-01-02 02:00:00,107629.5230,1785067927.8119,2.0341,1.0586,2.1368,4.2890
2023-01-02 03:00:00,107314.3280,1790850774.2312,2.0082,1.0576,2.2131,2.0225
2023-01-02 04:00:00,107805.0990,1792560897.6306,1.9728,1.0551,2.1412,1.0744
2023-01-02 05:00:00,107952.9860,1796625041.0826,1.9753,1.0566,2.1373,1.0234
2023-01-02 06:00:00,108075.4770,1797388669.4187,1.9624,1.0552,2.1135,0.8757
2023-01-02 07:00:00,107331.0650,1794573395.2570,1.9074,1.0592,2.0847,0.7558
2023-01-02 08:00:00,107221.9600,1793298003.1960,1.8700,1.0674,2.0335,0.6037
2023-01-02 09:00:00,107171.5040,1790358648.3328,1.8661,1.0629,2.0157,0.6897
