time,side,pos_side,price,size_contracts,loss
2026-09-06 04:45:11.401,buy,short,79906.7,1.36,0.0
2026-09-06 04:45:23.994,buy,short,79895.6,1.27,0.0
2026-09-06 04:45:47.844,buy,short,79903.7,20.08,0.0
2026-09-06 04:46:29.776,buy,short,79902.0,2.0,0.0
2026-09-06 04:46:31.125,buy,short,79902.0,11.76,0.0
2026-09-06 04:46:32.352,buy,short,79901.9,10.0,0.0
2026-09-06 04:46:32.655,buy,short,79901.9,2.29,0.0
2026-09-06 04:46:32.710,buy,short,79901.9,0.13,0.0
2026-09-06 04:46:32.754,buy,short,79901.9,0.57,0.0
2026-09-06 04:46:32.778,buy,short,79901.9,5.24,0.0
2026-09-06 04:46:32.786,sell,long,79901.9,3.0,0.0
2026-09-06 04:46:32.907,buy,short,79903.0,1.64,0.0
2026-09-06 04:46:34.596,buy,short,79902.9,5.0,0.0
2026-09-06 04:46:35.127,buy,short,79902.8,1.49,0.0
2026-09-06 04:46:35.374,buy,short,79902.8,1.25,0.0
2026-09-06 04:46:37.117,buy,short,79902.6,200.0,0.0
2026-09-06 04:46:37.962,buy,short,79902.5,0.34,0.0
2026-09-06 04:46:37.968,sell,long,79902.5,30.69,0.0
2026-09-06 04:46:38.320,buy,short,79902.7,0.53,0.0
2026-09-06 04:46:38.330,sell,long,79902.6,2.26,0.0
2026-09-06 04:46:38.350,buy,short,79902.7,16.19,0.0
2026-09-06 04:46:38.469,buy,short,79903.0,1.0,0.0
2026-09-06 04:46:38.511,buy,short,79903.0,2.62,0.0
2026-09-06 04:46:38.752,buy,short,79903.0,0.05,0.0
2026-09-06 04:46:38.819,buy,short,79903.1,1.33,0.0
2026-09-06 04:46:39.058,buy,short,79903.2,0.72,0.0
2026-09-06 04:46:39.593,buy,short,79904.1,1.41,0.0
2026-09-06 04:46:39.700,buy,short,79904.2,1.0,0.0
2026-09-06 04:46:39.762,buy,short,79904.1,5.0,0.0
2026-09-06 04:46:39.770,buy,short,79904.2,4.16,0.0
2026-09-06 04:46:39.778,buy,short,79904.2,2.0,0.0
2026-09-06 04:46:39.779,buy,short,79904.2,0.4,0.0
2026-09-06 04:46:39.946,buy,short,79904.2,5.95,0.0
2026-09-06 04:46:40.556,buy,short,79904.5,1.41,0.0
2026-09-06 04:46:40.890,buy,short,79904.8,5.0,0.0
2026-09-06 04:46:41.148,buy,short,79909.6,30.0,0.0
2026-09-06 04:46:41.174,buy,short,79909.6,0.25,0.0
2026-09-06 04:46:41.192,buy,short,79909.6,2.0,0.0
2026-09-06 04:46:41.398,buy,short,79910.0,5.0,0.0
2026-09-06 04:46:42.508,buy,short,79917.7,2.02,0.0
2026-09-06 04:53:09.507,buy,short,79851.5,0.79,0.0
2026-09-06 05:21:15.567,buy,short,79799.5,0.12,0.0
2026-09-06 05:34:04.143,buy,short,79864.2,8.42,0.0
2026-09-06 05:34:04.846,buy,short,79870.8,0.65,0.0
2026-09-06 05:34:05.219,buy,short,79875.2,1.1,0.0
2026-09-06 05:34:05.395,sell,long,79875.4,0.01,0.0
2026-09-06 05:34:05.471,buy,short,79875.4,1.36,0.0
2026-09-06 05:34:06.399,sell,long,79883.2,1.38,0.0
2026-09-06 05:34:06.442,sell,long,79883.2,0.06,0.0
2026-09-06 05:34:06.555,buy,short,79884.4,3.87,0.0
2026-09-06 05:34:08.824,buy,short,79887.3,0.01,0.0
