signal_time,entry_time,exit_time,entry,exit,gross,stopped,cost,net
2015-06-17,2015-06-18,2015-06-20,247.76,244.76,0.012108492089118461,False,0.001,0.01110849208911846
2015-11-04,2015-11-05,2015-11-07,407.99,383.53,0.05995244981494652,False,0.001,0.05895244981494652
2015-12-12,2015-12-13,2015-12-15,436.08,464.53,-0.06524032287653636,False,0.001,-0.06624032287653636
2016-05-29,2016-05-30,2016-06-01,517.6,536.95,-0.037384080370942874,False,0.001,-0.038384080370942875
2016-06-17,2016-06-18,2016-06-20,745.0,730.85,0.018993288590604007,False,0.001,0.017993288590604006
2016-11-03,2016-11-04,2016-11-06,684.84,709.93,-0.03663629460895956,False,0.001,-0.037636294608959564
2017-02-09,2017-02-10,2017-02-12,985.71,1000.73,-0.015237747410495883,False,0.001,-0.016237747410495884
2017-02-24,2017-02-25,2017-02-27,1180.05,1194.64,-0.0123638828863184,False,0.001,-0.013363882886318401
2017-03-10,2017-03-11,2017-03-13,1111.55,1242.46,-0.11777247987045114,False,0.001,-0.11877247987045114
2017-05-25,2017-05-26,2017-05-28,2277.01,2178.81,0.04312673198624528,False,0.001,0.04212673198624528
2017-06-12,2017-06-13,2017-06-15,2656.97,2424.91,0.08734009040373059,False,0.001,0.08634009040373058
2017-08-15,2017-08-16,2017-08-18,4154.99,4100.0,0.013234688892151292,False,0.001,0.01223468889215129
2017-11-29,2017-11-30,2017-12-02,9833.7,10872.0,-0.10558589340736435,False,0.001,-0.10658589340736435
2017-12-08,2017-12-09,2017-12-11,15799.9,16470.0,-0.042411660833296505,False,0.001,-0.043411660833296506
2018-04-25,2018-04-26,2018-04-28,8855.07,9345.11,-0.05534004813061899,False,0.001,-0.05634004813061899
2019-02-24,2019-02-25,2019-02-27,3733.78,3798.47,-0.017325605686462353,False,0.001,-0.018325605686462354
2019-04-03,2019-04-04,2019-04-06,4972.83,5041.39,-0.013786918113026347,False,0.001,-0.014786918113026348
2019-05-12,2019-05-13,2019-05-15,6968.84,8208.69,-0.17791339735163958,False,0.001,-0.17891339735163958
2020-01-08,2020-01-09,2020-01-11,8048.94,8016.22,0.0040651315576957225,False,0.001,0.0030651315576957225
2020-04-30,2020-05-01,2020-05-03,8629.72,8915.98,-0.033171412282206214,False,0.001,-0.034171412282206215
2020-08-02,2020-08-03,2020-08-05,11074.9,11755.2,-0.06142719121617368,False,0.001,-0.06242719121617368
2020-10-28,2020-10-29,2020-10-31,13275.8,13816.1,-0.04069811235481113,False,0.001,-0.041698112354811134
2021-09-07,2021-09-08,2021-09-10,46894.3,44857.4,0.04343598262475401,False,0.001,0.04243598262475401
2022-09-13,2022-09-14,2022-09-16,20175.0,19802.0,0.01848822800495664,False,0.001,0.01748822800495664
2023-01-18,2023-01-19,2023-01-21,20678.0,22783.0,-0.10179901344424036,False,0.001,-0.10279901344424036
2023-02-16,2023-02-17,2023-02-19,23518.0,24296.0,-0.033081044306488616,False,0.001,-0.03408104430648862
2023-10-16,2023-10-17,2023-10-19,28520.0,28733.0,-0.0074684431977558585,False,0.001,-0.00846844319775586
2023-10-20,2023-10-21,2023-10-23,29682.0,33074.0,-0.1142780136109427,False,0.001,-0.1152780136109427
2023-10-24,2023-10-25,2023-10-27,33928.0,33906.0,0.0006484319735911015,False,0.001,-0.0003515680264088985
2024-03-05,2024-03-06,2024-03-08,63815.0,68285.0,-0.07004622737600874,False,0.001,-0.07104622737600874
2024-12-05,2024-12-06,2024-12-08,96968.0,101204.0,-0.043684514479003456,False,0.001,-0.044684514479003457
2025-01-20,2025-01-21,2025-01-23,102155.0,103933.0,-0.017404923890167012,False,0.001,-0.018404923890167013
2025-08-14,2025-08-15,2025-08-17,118393.0,117490.0,0.007627140118081299,False,0.001,0.006627140118081299
