signal_time,entry_time,exit_time,entry,exit,gross,stopped,cost,net
2015-01-03 06:00:00,2015-01-03 07:00:00,2015-01-04 06:00:00,308.74,279.89,-0.09344432208330644,False,0.001,-0.09444432208330644
2015-01-04 13:00:00,2015-01-04 14:00:00,2015-01-05 13:00:00,264.97,276.8,0.04464656376193532,False,0.001,0.04364656376193532
2015-01-11 15:00:00,2015-01-11 16:00:00,2015-01-12 15:00:00,272.4,270.71,-0.006204111600587314,False,0.001,-0.007204111600587314
2015-01-13 00:00:00,2015-01-13 01:00:00,2015-01-14 00:00:00,261.13,219.75,-0.1584651323095776,False,0.001,-0.1594651323095776
2015-01-14 07:00:00,2015-01-14 08:00:00,2015-01-15 07:00:00,184.59,194.81,0.055365946150929046,False,0.001,0.054365946150929045
2015-01-28 13:00:00,2015-01-28 14:00:00,2015-01-29 13:00:00,249.0,224.9,-0.09678714859437754,False,0.001,-0.09778714859437754
2015-01-31 23:00:00,2015-02-01 00:00:00,2015-02-01 23:00:00,218.04,226.93,0.04077233535131186,False,0.001,0.03977233535131186
2015-02-05 15:00:00,2015-02-05 16:00:00,2015-02-06 15:00:00,216.5,223.55,0.03256351039260985,False,0.001,0.03156351039260985
2015-02-08 12:00:00,2015-02-08 13:00:00,2015-02-09 12:00:00,222.0,218.49,-0.015810810810810816,False,0.001,-0.016810810810810817
2015-02-18 17:00:00,2015-02-18 18:00:00,2015-02-19 17:00:00,235.0,242.26,0.030893617021276576,False,0.001,0.029893617021276575
2015-02-22 14:00:00,2015-02-22 15:00:00,2015-02-23 14:00:00,237.44,236.87,-0.002400606469002642,False,0.001,-0.003400606469002642
2015-03-01 12:00:00,2015-03-01 13:00:00,2015-03-02 12:00:00,247.87,261.2,0.05377819018033647,False,0.001,0.05277819018033647
2015-03-17 14:00:00,2015-03-17 15:00:00,2015-03-18 14:00:00,287.4,274.36,-0.04537230340988152,False,0.001,-0.04637230340988152
2015-03-18 21:00:00,2015-03-18 22:00:00,2015-03-19 21:00:00,254.67,263.19,0.03345505948875016,False,0.001,0.03245505948875016
2015-03-24 11:00:00,2015-03-24 12:00:00,2015-03-25 11:00:00,253.7,245.27,-0.0332282223098147,False,0.001,-0.034228222309814704
2015-03-29 09:00:00,2015-03-29 10:00:00,2015-03-30 09:00:00,241.22,245.76,0.018820993284138998,False,0.001,0.017820993284138997
2015-04-07 01:00:00,2015-04-07 02:00:00,2015-04-08 01:00:00,252.88,253.58,0.0027681113571655924,False,0.001,0.0017681113571655924
2015-04-08 10:00:00,2015-04-08 11:00:00,2015-04-09 10:00:00,245.61,242.11,-0.014250234110988913,False,0.001,-0.015250234110988914
2015-04-10 12:00:00,2015-04-10 13:00:00,2015-04-11 12:00:00,233.75,234.94,0.005090909090909035,False,0.001,0.004090909090909035
2015-04-13 18:00:00,2015-04-13 19:00:00,2015-04-14 18:00:00,226.05,215.0,-0.048882990488829936,False,0.001,-0.04988299048882994
